number,Date,date1,total_cost,subtotal,country,total_payed,excise_tax,free_shipping,Margin $,Margin %
#243280,7/16/2021,7/16/2021,26.02,39.68,US,51.67,0,FALSE,11.5932,29.22%
#243279,7/16/2021,7/16/2021,38.01,73.37,US,85.36,0,FALSE,31.9456,43.54%
#243278,7/16/2021,7/16/2021,22,37.08,US,49.07,0,FALSE,13.1172,35.38%
#243277,7/16/2021,7/16/2021,35,55.12,US,67.11,0,FALSE,17.4356,31.63%
#243276,7/16/2021,7/16/2021,16,20,US,31.99,0,FALSE,2.7204,13.60%
#243274,7/16/2021,7/16/2021,21.2,39.93,US,51.92,2.12,FALSE,14.5332,36.40%
#243273,7/16/2021,7/16/2021,23.75,33.62,US,45.61,0,FALSE,8.0456,23.93%
#243272,7/16/2021,7/16/2021,16.5,36.63,US,48.62,12.38,FALSE,5.8052,15.85%
#243271,7/16/2021,7/16/2021,33.3,58.31,US,70.3,0,FALSE,22.198,38.07%
#243269,7/16/2021,7/16/2021,20.68,41.34,US,53.33,0,FALSE,18.5268,44.82%
#243268,7/16/2021,7/16/2021,57.25,111.82,US,123.81,22.9,TRUE,26.7176,23.89%
#243266,7/16/2021,7/16/2021,6.8,10.71,US,22.7,0,FALSE,3.002,28.03%
#243265,7/16/2021,7/16/2021,12.5,25.94,US,37.93,3,FALSE,8.9228,34.40%
#243264,7/16/2021,7/16/2021,24.33,42.01,US,54,0,FALSE,15.52,36.94%
#243263,7/16/2021,7/16/2021,12.5,23.9,US,35.89,0,FALSE,9.9644,41.69%
#243262,7/16/2021,7/16/2021,8.25,13.79,US,25.78,0,FALSE,4.5088,32.70%
#243261,7/16/2021,7/16/2021,60.72,92.81,US,99.8,0,TRUE,28.098,30.27%
#243260,7/16/2021,7/16/2021,45.29,106.88,US,113.87,14.12,TRUE,42.9152,40.15%
#243259,7/16/2021,7/16/2021,11,27.73,US,39.72,3,FALSE,12.1412,43.78%
#243257,7/16/2021,7/16/2021,29,47.04,US,59.03,0,FALSE,15.6788,33.33%
#243253,7/16/2021,7/16/2021,15.8,23.52,US,35.51,0,FALSE,6.2996,26.78%
#243252,7/16/2021,7/16/2021,20,29.41,US,41.4,0,FALSE,7.754,26.37%
#243251,7/16/2021,7/16/2021,28,51.85,US,63.84,0,FALSE,21.2964,41.07%
#243250,7/16/2021,7/16/2021,23.25,36.87,US,51.59,3.49,FALSE,8.0664,21.88%
#243248,7/16/2021,7/16/2021,22.6,47.64,US,59.63,0,FALSE,22.6548,47.55%
#243246,7/16/2021,7/16/2021,13.5,31.96,US,43.95,4.05,FALSE,12.652,39.59%
#243244,7/16/2021,7/16/2021,18.75,42.16,US,54.15,8.1,FALSE,13.144,31.18%
#243242,7/16/2021,7/16/2021,65.16,141.06,US,148.05,10.8,TRUE,59.178,41.95%
#243241,7/16/2021,7/16/2021,45.23,82.73,US,89.72,0,TRUE,33.9112,40.99%
#243240,7/16/2021,7/16/2021,14.46,24.19,US,36.18,1.5,FALSE,6.7828,28.04%
#243239,7/16/2021,7/16/2021,11.7,24.21,US,36.2,0,FALSE,11.062,45.69%
#243238,7/16/2021,7/16/2021,25,37.35,US,49.34,0,FALSE,10.3764,27.78%
#243236,7/16/2021,7/16/2021,22.58,38.29,US,50.28,0,FALSE,13.6988,35.78%
#243235,7/16/2021,7/16/2021,22.69,40.05,US,52.04,0,FALSE,15.2784,38.15%
#243232,7/16/2021,7/16/2021,17,21.75,US,33.74,0,FALSE,3.4004,15.63%
